ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.433811582,0,0,0,11,121,0,1,Coast,29
7.972466016,1,0,0,5,25,0,1,Coast,27
8.160518247,0,0,0,6,36,1,1,Coast,24
8.517193191,0,0,0,27,729,0,0,Coast,33
8.594154233,1,1,1,13,169,1,1,Coast,35
8.476371197,0,0,0,15,225,1,1,Coast,33
6.599870499,1,0,0,40,1600,0,1,Coast,62
8.160518247,0,0,0,32,1024,1,1,Coast,43
8.853665428,0,0,0,5,25,1,0,Coast,23
9.305650552,0,1,0,17,289,0,1,Coast,37
8.160518247,0,0,0,35,1225,0,1,Coast,46
8.342839804,0,0,0,5,25,0,0,Coast,23
8.342839804,0,0,0,26,676,0,0,Coast,41
7.313220387,0,0,0,39,1521,0,1,Coast,54
8.455317788,0,0,0,19,361,0,0,Coast,37
8.476371197,0,0,0,31,961,0,0,Coast,40
8.006367568,0,0,0,33,1089,1,0,Coast,42
8.29404964,0,0,0,4,16,0,0,Coast,22
8.29404964,0,0,0,24,576,0,0,Coast,35
8.29404964,0,0,0,23,529,0,0,Coast,34
8.006367568,0,0,0,23,529,0,0,Coast,34
8.536995819,0,0,0,16,256,0,0,Coast,31
8.188689124,0,0,0,31,961,1,0,Coast,37
8.29404964,0,0,0,19,361,1,1,Coast,34
8.517193191,0,0,0,4,16,0,0,Coast,19
7.495541944,0,0,0,2,4,0,0,Coast,20
8.517193191,0,0,0,46,2116,0,1,Coast,61
8.517193191,0,0,0,46,2116,0,1,Coast,61
8.29404964,1,1,1,7,49,1,1,Coast,29
8.29404964,1,1,1,5,25,1,1,Coast,27
8.29404964,0,0,0,37,1369,0,1,Coast,55
8.853665428,0,0,0,12,144,1,1,Coast,27
8.342839804,0,0,0,35,1225,0,1,Coast,50
8.517193191,0,0,0,52,2704,1,0,Coast,63
8.699514748,0,0,0,20,400,1,1,Coast,38
8.699514748,0,0,0,29,841,1,1,Coast,44
8.517193191,0,0,0,8,64,0,1,Coast,23
8.006367568,0,0,0,32,1024,1,1,Coast,43
8.160518247,0,0,0,31,961,1,0,Coast,49
8.29404964,0,0,0,26,676,1,1,Coast,44
8.699514748,0,0,0,28,784,1,1,Coast,39
8.648221454,0,1,0,19,361,1,1,Coast,39
8.411832676,0,0,0,29,841,0,1,Coast,47
8.517193191,0,0,0,30,900,1,1,Coast,48
8.006367568,0,0,0,28,784,1,0,Coast,39
8.070906089,0,0,0,1,1,0,0,Coast,19
8.283999304,0,0,0,38,1444,0,0,Coast,49
8.455317788,0,0,0,1,1,1,1,Coast,19
7.60090246,0,0,0,5,25,0,0,Coast,20
8.987196821,0,0,0,38,1444,0,0,Coast,44
9.392661929,0,0,0,39,1521,0,0,Coast,45
7.60090246,0,0,0,44,1936,1,0,Coast,55
8.29404964,0,0,0,41,1681,1,0,Coast,56
8.411832676,0,0,0,9,81,0,0,Coast,24
7.60090246,0,0,0,32,1024,0,0,Coast,38
7.60090246,0,0,0,29,841,0,0,Coast,35
8.699514748,0,0,0,28,784,0,1,Coast,39
6.835184586,0,0,0,50,2500,0,1,Coast,68
8.29404964,0,0,0,10,100,0,0,Coast,21
7.824046011,0,0,0,56,3136,1,0,Coast,62
8.517193191,0,0,0,50,2500,0,0,Coast,61
8.517193191,0,0,0,30,900,0,0,Coast,39
8.699514748,0,0,0,31,961,1,1,Coast,42
8.29404964,0,0,0,34,1156,1,0,Coast,43
8.006367568,0,0,0,12,144,1,1,Coast,23
8.29404964,0,0,0,10,100,1,1,Coast,21
9.047821442,0,0,0,40,1600,0,1,Coast,58
8.006367568,0,0,0,43,1849,1,1,Coast,54
7.60090246,0,0,0,9,81,0,1,Coast,27
8.29404964,0,0,0,10,100,1,1,Coast,21
8.160518247,0,0,0,2,4,0,1,Coast,17
8.006367568,0,0,0,9,81,1,1,Coast,20
8.699514748,0,0,0,28,784,1,0,Coast,39
8.987196821,0,0,0,28,784,1,0,Coast,39
8.517193191,0,0,0,6,36,1,1,Coast,24
8.006367568,0,0,0,29,841,1,0,Coast,38
8.29404964,0,0,0,2,4,0,0,Coast,17
8.006367568,0,0,0,46,2116,1,1,Coast,61
8.242756346,0,0,0,18,324,1,0,Coast,36
8.29404964,0,0,0,18,324,1,0,Coast,36
8.853665428,1,0,0,22,484,1,0,Coast,44
8.006367568,0,0,0,30,900,1,0,Coast,36
8.006367568,0,0,0,10,100,1,0,Coast,25
8.242756346,0,0,0,8,64,1,1,Coast,26
8.612503371,0,0,0,13,169,1,1,Coast,31
8.987196821,0,0,0,9,81,0,1,Coast,27
8.987196821,0,0,0,9,81,0,1,Coast,27
8.411832676,0,0,0,13,169,1,0,Coast,31
8.411832676,0,0,0,13,169,1,0,Coast,31
7.01571242,0,0,0,44,1936,0,1,Coast,59
7.14440718,0,0,0,44,1936,0,1,Coast,59
8.517193191,0,0,0,7,49,0,0,Coast,25
8.517193191,0,0,0,8,64,0,0,Coast,26
9.61580548,0,0,0,20,400,0,1,Coast,38
8.9226583,0,0,0,21,441,0,1,Coast,39
8.29404964,0,0,0,33,1089,0,0,Coast,48
8.699514748,0,0,0,14,196,0,1,Coast,32
8.517193191,0,0,0,15,225,1,1,Coast,30
8.006367568,0,0,0,19,361,1,0,Coast,30
8.29404964,0,0,0,10,100,1,0,Coast,25
